Name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Honda,4.2,(1.8k Reviews),Private,"Greater Noida,Uttar Pradesh + 162 more",73 years old,"5001-10000
						employees
						(India)"
Megha Engineering ...,4.3,(1.8k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 138 more",32 years old,"5001-10000
						employees
						(India)"
Royal Enfield,4.2,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 185 more",66 years old,"1001-5000
						employees
						(India)"
Wipro Enterprises ...,3.8,(1.8k Reviews),Bangalore + 56 more,76 years old,"100001+
						employees
						(Global)",
Nagarjuna Construc...,4.1,(1.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 144 more",43 years old,"5001-10000
						employees
						(Global)"
Wells Fargo India,4.1,(1.8k Reviews),Private,"San Francisco,California + 10 more",23 years old,"10001-50000
						employees
						(India)"
SBI Cards & Paymen...,3.9,(1.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 190 more",23 years old,"1001-5000
						employees
						(India)"
State Bank of Indi...,4.0,(1.8k Reviews),"Mumbai,Maharashtra + 257 more",215 years old,"100001+
						employees
						(India)",
BNY Mellon,4.0,(1.8k Reviews),Private,"New York City,New York + 6 more",21 years old,"10001-50000
						employees
						(India)"
JBM Group,4.0,(1.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 66 more",38 years old,"10001-50000
						employees
						(Global)"
Arvind Group,4.1,(1.7k Reviews),Public,"Ahmedabad,Gujrat + 124 more",90 years old,"10001-50000
						employees
						(India)"
Sodexo,4.1,(1.7k Reviews),Private,Issy Les Moulineaux + 94 more,55 years old,"5001-10000
						employees
						(India)"
Muthoot Fincorp,3.9,(1.7k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 331 more",134 years old,"10001-50000
						employees
						(Global)"
Tata Communication...,4.1,(1.7k Reviews),Public,Mumbai + 84 more,35 years old,"10001-50000
						employees
						(India)"
LG Electronics,4.1,(1.7k Reviews),Public,"Seoul,Seoul + 162 more",63 years old,"5001-10000
						employees
						(India)"
Hindustan Coca Col...,4.4,(1.7k Reviews),Private,Bangalore + 145 more,24 years old,"1001-5000
						employees
						(India)"
Abbott Healthcare,4.2,(1.7k Reviews),Public,"Illinois City,Illinois + 125 more",24 years old,"10001-50000
						employees
						(India)"
Gati kwe,4.0,(1.7k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 134 more",9 years old,"1001-5000
						employees
						(India)"
Hetero Drugs,4.0,(1.7k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 28 more",28 years old,"1001-5000
						employees
						(India)"
Bajaj Auto,3.9,(1.7k Reviews),Public,"Pune,Maharashtra + 165 more",76 years old,"201-500
						employees
						(India)"
Flex,4.1,(1.7k Reviews),Private,San Jose + 29 more,52 years old,"10001-50000
						employees
						(India)"
Cgi Group,4.1,(1.7k Reviews),Private,"Montreal,Quebec + 8 more",45 years old,"10001-50000
						employees
						(India)"
Equitas Small Fina...,4.0,(1.7k Reviews),Private,"Chennai,Tamil Nadu + 242 more",14 years old,"1001-5000
						employees
						(India)"
John Deere,4.3,(1.7k Reviews),Private,"Moline,Illinois + 79 more",184 years old,"1001-5000
						employees
						(India)"
L & T Finance,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 308 more",27 years old,"5001-10000
						employees
						(India)"
Shoppers Stop,4.3,(1.7k Reviews),Public,Mumbai + 53 more,30 years old,"10001-50000
						employees
						(India)"
Ford Motor,4.5,(1.6k Reviews),Public,"Dearborn,Michigan + 89 more",118 years old,"5001-10000
						employees
						(India)"
Lava International,4.1,(1.6k Reviews),Public,"Noida,Uttar Pradesh + 189 more",12 years old,"1001-5000
						employees
						(India)"
McDonald's,4.2,(1.6k Reviews),Private,"Chicago,Illinois + 101 more",66 years old,"5001-10000
						employees
						(India)"
Tata Teleservices,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 151 more",25 years old,"100001+
						employees
						(Global)"
Subros,3.9,(1.6k Reviews),Public,"Noida,Uttar Pradesh + 27 more",36 years old,"1001-5000
						employees
						(Global)"
Alembic Pharmaceut...,4.2,(1.6k Reviews),Public,"Vadodara/Baroda,Gujrat + 102 more",114 years old,"5001-10000
						employees
						(India)"
Suzlon Group,4.1,(1.6k Reviews),Public,Pune + 69 more,26 years old,"5001-10000
						employees
						(India)"
SBI Life Insurance...,3.8,(1.6k Reviews),Public,Mumbai + 340 more,21 years old,"10001-50000
						employees
						(Global)"
CBRE,4.2,(1.6k Reviews),Private,Los Angeles + 39 more,115 years old,"5001-10000
						employees
						(India)"
Cholamandalam Inve...,4.2,(1.6k Reviews),Private,Chennai + 385 more,43 years old,"1001-5000
						employees
						(India)"
Quess,4.0,(1.6k Reviews),Public,Bangalore + 214 more,14 years old,"1001-5000
						employees
						(India)"
NatWest Group,4.0,(1.6k Reviews),Chennai + 16 more,"10001-50000
						employees
						(India)",,
D Mart,4.1,(1.6k Reviews),Private,"Thane,Maharashtra + 107 more",21 years old,"1001-5000
						employees
						(Global)"
Schneider Electric,4.2,(1.5k Reviews),Private,Rueil Malmaison + 57 more,185 years old,"10001-50000
						employees
						(India)"
IQVIA,4.2,(1.5k Reviews),Partnership,"Danbury,Connecticut + 32 more",39 years old,"10001-50000
						employees
						(India)"
ICICI Lombard Gene...,3.9,(1.5k Reviews),Public,"Mumbai,Maharashtra + 155 more",20 years old,"5001-10000
						employees
						(India)"
VE Commercial Vehi...,4.1,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 91 more",13 years old,"1001-5000
						employees
						(India)"
CMS IT Services,3.1,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 103 more",7 years old,"5001-10000
						employees
						(Global)"
Cummins,4.3,(1.5k Reviews),Pune + 70 more,59 years old,"5001-10000
						employees
						(India)",
Intas Pharmaceutic...,4.2,(1.5k Reviews),Private,"Ahmedabad,Gujrat + 84 more",21 years old,"5001-10000
						employees
						(India)"
Ecom Express,4.2,(1.5k Reviews),Private,Gurugram + 355 more,9 years old,"10001-50000
						employees
						(India)"
Thermax,4.3,(1.5k Reviews),Public,"Pune,Maharashtra + 90 more",41 years old,"1001-5000
						employees
						(Global)"
DTDC Express,4.0,(1.5k Reviews),Private,Bangalore + 162 more,31 years old,"1001-5000
						employees
						(India)"
Glenmark Pharmaceu...,4.2,(1.5k Reviews),Public,"Mumbai,Maharashtra + 94 more",44 years old,"5001-10000
						employees
						(India)"
ABB Group,4.0,(1.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 81 more",72 years old,"5001-10000
						employees
						(India)"
L&T Construction,4.0,(1.5k Reviews),Public,Chennai + 187 more,77 years old,"100001+
						employees
						(Global)"
KEC International,4.2,(1.5k Reviews),Public,"Mumbai,Maharashtra + 147 more",76 years old,"5001-10000
						employees
						(India)"
Bel,4.3,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 27 more",67 years old,"10001-50000
						employees
						(Global)"
Reliance Nippon Li...,3.8,(1.5k Reviews),Private,"Mumbai,Maharashtra + 343 more",21 years old,"10001-50000
						employees
						(India)"
UST,3.9,(1.5k Reviews),Private,Aliso Viejo + 25 more,22 years old,"10001-50000
						employees
						(Global)"
Ipca Laboratories,4.0,(1.5k Reviews),Public,"Mumbai,Maharashtra + 84 more",72 years old,"5001-10000
						employees
						(India)"
Varun Beverages,3.9,(1.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 149 more",26 years old,"1001-5000
						employees
						(Global)"
Honda Motorcycle &...,4.2,(1.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 133 more",22 years old,"5001-10000
						employees
						(India)"
Future Retail,4.2,(1.4k Reviews),Public,"Mumbai,Maharashtra + 166 more",34 years old,"10001-50000
						employees
						(Global)"
Amdocs,3.9,(1.4k Reviews),Private,"Chesterfield,Missouri + 9 more",39 years old,"5001-10000
						employees
						(India)"
Alkem Laboratories,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 100 more",48 years old,"10001-50000
						employees
						(India)"
Titan Company,4.4,(1.4k Reviews),Public,"Hosur,Tamil Nadu + 104 more",37 years old,"5001-10000
						employees
						(India)"
Indiamart Intermes...,3.8,(1.4k Reviews),Private,"Noida,Uttar Pradesh + 63 more",25 years old,"1001-5000
						employees
						(Global)"
Atos,3.9,(1.4k Reviews),Private,Bezons + 27 more,24 years old,"10001-50000
						employees
						(India)"
Macleods Pharmaceu...,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 62 more",35 years old,"5001-10000
						employees
						(Global)"
State Street Synte...,3.9,(1.4k Reviews),Private,Mumbai + 11 more,17 years old,"10001-50000
						employees
						(Global)"
Indian Oil Corpora...,4.3,(1.4k Reviews),Private,"Delhi/NCR,Delhi + 141 more",62 years old,"10001-50000
						employees
						(India)"
Standard Chartered...,4.0,(1.4k Reviews),Private,London + 53 more,52 years old,"5001-10000
						employees
						(India)"
Radisson Hotels,3.9,(1.4k Reviews),Private,"Minnetonka,Minnesota + 84 more",23 years old,"50001-100000
						employees
						(Global)"
Robert Bosch Engin...,4.1,(1.4k Reviews),Private,Gerlingen + 14 more,31 years old,"100001+
						employees
						(Global)"
Huawei Technologie...,3.7,(1.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 81 more",34 years old,"501-1000
						employees
						(India)"
Bajaj Electricals,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 145 more",83 years old,"1001-5000
						employees
						(India)"
Rivigo,3.8,(1.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 131 more",7 years old,"1001-5000
						employees
						(India)"
Optum,4.1,(1.4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",15 years old,"1001-5000
						employees
						(India)"
DCB Bank,3.9,(1.4k Reviews),Private,"Mumbai,Maharashtra + 184 more",91 years old,"5001-10000
						employees
						(India)"
TAFE - Tractors an...,4.1,(1.4k Reviews),Public,"Chennai,Tamil Nadu + 115 more",61 years old,"1001-5000
						employees
						(India)"
Torrent Pharmaceut...,4.1,(1.4k Reviews),Public,"Ahmedabad,Gujrat + 78 more",50 years old,"5001-10000
						employees
						(India)"
American Express,4.3,(1.4k Reviews),Private,"New York,New York + 31 more",171 years old,"10001-50000
						employees
						(India)"
Havells,4.2,(1.4k Reviews),Public,"Noida,Uttar Pradesh + 98 more",63 years old,"5001-10000
						employees
						(India)"
PepsiCo,4.3,(1.3k Reviews),Private,"Harrison,New York + 180 more",123 years old,"100001+
						employees
						(India)"
Hindalco Industrie...,4.2,(1.3k Reviews),Public,Mumbai + 58 more,63 years old,"10001-50000
						employees
						(India)"
BigBasket,4.2,(1.3k Reviews),Private,Bangalore + 51 more,10 years old,"1001-5000
						employees
						(India)"
HCL Infosystems,3.9,(1.3k Reviews),Public,"Noida,Uttar Pradesh + 93 more",45 years old,"100001+
						employees
						(Global)"
Deutsche Bank,4.2,(1.3k Reviews),Private,Frankfurt + 27 more,151 years old,"10001-50000
						employees
						(India)"
KPIT Technologies,3.3,(1.3k Reviews),Private,"Pune,Maharashtra + 19 more",27 years old,"5001-10000
						employees
						(Global)"
Team Lease,3.9,(1.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 141 more",19 years old,"100001+
						employees
						(Global)"
Landmark Group,4.1,(1.3k Reviews),Private,"Dubai Marina,Dubai + 91 more",48 years old,"1001-5000
						employees
						(India)"
ACC,4.1,(1.3k Reviews),Public,"Mumbai,Maharashtra + 138 more",85 years old,"5001-10000
						employees
						(India)"
Fortis Healthcare,4.0,(1.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 48 more",25 years old,"10001-50000
						employees
						(Global)"
Eureka Forbes,4.0,(1.3k Reviews),Private,"Mumbai,Maharashtra + 132 more",39 years old,"10001-50000
						employees
						(Global)"
24/7 Customer,3.6,(1.3k Reviews),Private,"San Jose,California + 14 more",21 years old,"5001-10000
						employees
						(India)"
Pidilite Industrie...,4.4,(1.3k Reviews),Public,Mumbai + 140 more,62 years old,"5001-10000
						employees
						(India)"
DHFL,4.5,(1.3k Reviews),Public,"Mumbai,Maharashtra + 185 more",37 years old,"5001-10000
						employees
						(Global)"
GlobalLogic,3.9,(1.3k Reviews),Private,"San Jose,California + 18 more",21 years old,"5001-10000
						employees
						(India)"
Capita,3.7,(1.3k Reviews),Private,"Indore,Madhya Pradesh + 10 more",37 years old,"1001-5000
						employees
						(India)"
Jindal Steel and P...,3.9,(1.3k Reviews),Private,"Delhi/NCR,New Delhi + 73 more",69 years old,"10001-50000
						employees
						(Global)"
Pfizer,4.2,(1.3k Reviews),Public,"Chennai,Tamil Nadu + 85 more",172 years old,"1001-5000
						employees
						(India)"
Ola Cabs,4.0,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 76 more",11 years old,"1001-5000
						employees
						(India)"
Patanjali Ayurved,3.9,(1.3k Reviews),Private,"Haridwar,Uttarakhand + 182 more",15 years old,"10001-50000
						employees
						(Global)"
Swiggy,4.1,(1.3k Reviews),Private,Bangalore + 110 more,7 years old,"5001-10000
						employees
						(India)"
Dabur,4.2,(1.3k Reviews),Public,"Ghaziabad,Uttar Pradesh + 152 more",137 years old,"5001-10000
						employees
						(Global)"
RSPL Group,4.0,(1.3k Reviews),Private,"Mumbai,Maharashtra + 111 more",34 years old,"10001-50000
						employees
						(Global)"
Randstad,4.1,(1.3k Reviews),Private,"Chennai,Tamil Nadu + 149 more",61 years old,"1001-5000
						employees
						(India)"
NIIT Technologies,3.4,(1.3k Reviews),Public,"Noida,Uttar Pradesh + 74 more",17 years old,"5001-10000
						employees
						(Global)"
Lifestyle,4.3,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 75 more",22 years old,"10001-50000
						employees
						(India)"
Life Insurance Cor...,4.3,(1.3k Reviews),Private,Mumbai + 290 more,65 years old,"100001+
						employees
						(Global)"
Apollo Tyres,4.2,(1.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 114 more",49 years old,"5001-10000
						employees
						(India)"
G4S,4.2,(1.3k Reviews),Private,"Gurgaon/Gurugram,Haryana + 85 more",120 years old,"100001+
						employees
						(India)"
Dilip Buildcon,4.0,(1.2k Reviews),Public,Bhopal + 112 more,33 years old,"10001-50000
						employees
						(Global)"
Muthoot Finance,3.6,(1.2k Reviews),"Kochi/Cochin,Kerala + 279 more",82 years old,"10001-50000
						employees
						(India)",
Vishal Mega Mart,3.8,(1.2k Reviews),Private,"Ahmedabad,Gujrat + 185 more",20 years old,"5001-10000
						employees
						(Global)"
Maersk,4.2,(1.2k Reviews),Private,Copenhagen + 13 more,117 years old,"5001-10000
						employees
						(India)"
Max Healthcare,4.2,(1.2k Reviews),"Delhi/NCR,New Delhi + 44 more",20 years old,"1001-5000
						employees
						(Global)",
Ceat Tyres,4.2,(1.2k Reviews),Public,"Mumbai,Maharashtra + 76 more",63 years old,"5001-10000
						employees
						(India)"
Whitehat jr,3.9,(1.2k Reviews),"Mumbai,Maharashtra + 33 more",3 years old,"5001-10000
						employees
						(India)",
PNB MetLife,3.6,(1.2k Reviews),Private,"Mumbai,Maharashtra + 187 more",20 years old,"5001-10000
						employees
						(India)"
MRF Tyres,3.7,(1.2k Reviews),Public,"Chennai,Tamil Nadu + 137 more",75 years old,"10001-50000
						employees
						(Global)"
Virtusa Consulting...,3.5,(1.2k Reviews),Private,"Southborough,Massachusetts + 17 more",25 years old,"5001-10000
						employees
						(India)"
BHEL,4.3,(1.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 74 more",57 years old,"10001-50000
						employees
						(Global)"
Kotak Mahindara Li...,3.8,(1.2k Reviews),"Mumbai,Maharashtra + 138 more",20 years old,"10001-50000
						employees
						(Global)",
café Coffee day,4.1,(1.2k Reviews),Private,"Bengaluru,Karnataka + 74 more",25 years old,"5001-10000
						employees
						(Global)"
Delhi Public Schoo...,3.8,(1.2k Reviews),Public,"Greater Noida,Uttar Pradesh + 180 more",72 years old,"1001-5000
						employees
						(Global)"
Conduent,3.6,(1.2k Reviews),Private,"Florham Park,New Jersey + 15 more",4 years old,"5001-10000
						employees
						(India)"
MAGMA Fincorp,4.1,(1.2k Reviews),Public,"Mumbai,Maharashtra + 222 more",33 years old,"5001-10000
						employees
						(Global)"
Raymond,4.0,(1.2k Reviews),Public,"Thane,Maharashtra + 94 more",96 years old,"1001-5000
						employees
						(India)"
RBL Bank,3.7,(1.2k Reviews),Public,"Mumbai,Maharashtra + 147 more",78 years old,"1001-5000
						employees
						(India)"
Blue Dart Express,4.2,(1.2k Reviews),Public,Mumbai + 153 more,38 years old,"10001-50000
						employees
						(India)"
Tata AIA Life Insu...,3.9,(1.2k Reviews),Private,"Mumbai,Maharashtra + 158 more",20 years old,"10001-50000
						employees
						(Global)"
Nestle,4.1,(1.2k Reviews),Public,Vevey + 147 more,155 years old,"5001-10000
						employees
						(India)"
Bhushan Power & St...,3.9,(1.1k Reviews),Private,"Delhi/NCR,New Delhi + 41 more",51 years old,"5001-10000
						employees
						(Global)"
Escorts Group,4.2,(1.1k Reviews),Public,"Faridabad,Haryana + 78 more",61 years old,"5001-10000
						employees
						(India)"
Voltas,4.2,(1.1k Reviews),Public,"Mumbai,Maharashtra + 115 more",67 years old,"10001-50000
						employees
						(Global)"
PVR Cinemas,4.4,(1.1k Reviews),Public,Gurgaon + 79 more,24 years old,"1001-5000
						employees
						(India)"
Itc Infotech India,3.4,(1.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 34 more",21 years old,"5001-10000
						employees
						(Global)"
Biocon Biologics I...,3.9,(1.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 51 more",43 years old,"10001-50000
						employees
						(Global)"
PolicyBazaar,3.7,(1.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 15 more",13 years old,"5001-10000
						employees
						(India)"
GeBBS Healthcare S...,3.8,(1.1k Reviews),Private,"Culver City,California + 8 more",16 years old,"1001-5000
						employees
						(India)"
I Process Services,4.0,(1.1k Reviews),Private,"Delhi/NCR,Delhi + 165 more",16 years old,"5001-10000
						employees
						(Global)"
Big Bazaar,4.1,(1.1k Reviews),Private,"Mumbai,Maharashtra + 142 more",20 years old,"10001-50000
						employees
						(Global)"
Aakash Institute,3.5,(1.1k Reviews),Private,"New Delhi,Delhi + 117 more",33 years old,"5001-10000
						employees
						(India)"
Mankind Pharma,4.1,(1.1k Reviews),Private,"New Delhi,Delhi + 124 more",26 years old,"10001-50000
						employees
						(Global)"
Indian Navy,4.6,(1.1k Reviews),Private,"Delhi/NCR,Delhi + 51 more",71 years old,"50001-100000
						employees
						(Global)"
